Rk,Gtm,Date,Var.4,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,X.,Thr,Opp..Starter..GmeSc.,SOPercH,IP,HA,RA,ER,UER,BBA,OSO,HRA,HBPA,ERA,BF,Pit,Str,IR,IS,SBA,CSA,ABA,2BA,3BA,IBBA,SHA,SFA,ROEA,DPT,NumPitchers,Umpire,Pitchers Used (Rest-GameScore-Dec),BAA,SLGA,OBPA,OPSA,WHIP,FIP,StrPerc,SOPerc,K_9,K_BB,HR_9,team,Year
1,1,Mar 28,,CHC,"L,4-12",34,32,4,6,1,0,2,4,2,0,6,0,0,0,0,0,0,1,.188,.235,.406,.642,3,9,L,J.Lester(57),0.17647058823529413,9.0,13,12,12,0,8,7,3,1,12.00,46,177,98,10,4,0,1,37,3,0,0,0,0,0,2,7,Jeff Kellogg,"M.Minor (99-31-L), J.Chavez (99), J.Gomez (99), K.Bird (99), S.Kelley (99), K.Dowdy (99), J.Springs (99)",0.35135135135135137,0.6756756756756757,0.4782608695652174,1.1539365452408932,2.3333333333333335,8.658444444444445,0.5536723163841808,0.15217391304347827,7,0.8739076154806492,3,TEX,2019
2,2,Mar 30,,CHC,"W,8-6",44,32,8,10,2,0,2,8,12,0,14,0,0,0,1,1,0,1,.250,.385,.484,.869,12,9,R,Y.Darvish(39),0.2564102564102564,9.0,9,6,6,0,7,5,1,0,9.00,42,160,98,0,0,1,0,34,3,0,0,0,1,0,1,5,Brian O'Nora,"E.Volquez (99-33), J.Gomez (1), J.Springs (1), S.Kelley (1-W), J.Leclerc (99-Sv)",0.30985915492957744,0.5633802816901409,0.4318181818181818,0.9951984635083226,2.0555555555555554,7.269555555555556,0.5816023738872403,0.13636363636363635,6,0.7994670219853431,2,TEX,2019
3,3,Mar 31,,CHC,"W,11-10",41,34,11,11,1,1,3,10,6,0,7,0,0,1,0,1,2,0,.276,.395,.551,.946,5,11,L,C.Hamels(36),0.226890756302521,9.0,17,10,10,0,3,9,2,0,9.33,47,174,108,6,1,1,0,43,2,0,0,1,0,0,1,5,James Hoye,"L.Lynn (99-26), J.Chavez (2), K.Bird (2), C.Martin (99), J.Leclerc (0-W)",0.34210526315789475,0.5701754385964912,0.42962962962962964,0.9998050682261208,2.111111111111111,6.5473333333333334,0.5949119373776908,0.15555555555555556,7,1.1660188784008882,2,TEX,2019
4,4,Apr 1,,HOU,"L,1-2",28,28,1,2,0,0,1,1,0,0,7,0,0,0,0,0,0,1,.230,.333,.468,.802,0,9,R,B.Peacock(71),0.23129251700680273,9.0,8,2,2,0,4,5,1,0,7.50,37,143,90,0,0,0,1,33,3,0,0,0,0,0,0,2,Gabe Morales,"D.Smyly (99-47), A.Sampson (99-L)",0.3197278911564626,0.5374149659863946,0.4069767441860465,0.9443917101724411,1.9166666666666667,6.1306666666666665,0.6024464831804281,0.1511627906976744,6.5,1.1812812358019082,1.75,TEX,2019
5,5,Apr 2,,HOU,"W,6-4",37,32,6,9,2,1,1,6,4,0,9,1,0,0,0,0,0,0,.241,.342,.475,.817,7,9,R,J.Verlander(35),0.23369565217391305,9.0,12,4,4,0,5,5,0,1,6.80,42,161,98,3,0,4,0,34,2,0,0,1,1,0,2,5,Jerry Meals,"S.Miller (99-38), J.Chavez (1), S.Kelley (2-W), C.Martin (1-H), J.Leclerc (1-Sv)",0.3259668508287293,0.5138121546961326,0.411214953271028,0.9250271079671606,1.9111111111111112,5.658444444444445,0.603680981595092,0.14485981308411214,6.2,1.1477230655312847,1.4,TEX,2019
6,6,Apr 3,,HOU,"W,4-0",33,29,4,5,1,0,1,4,4,0,13,0,0,0,0,0,2,0,.230,.332,.449,.781,5,10,R,G.Cole(58),0.25806451612903225,9.0,6,0,0,0,2,9,0,0,5.67,34,120,74,0,0,0,1,32,2,0,0,0,0,2,2,3,Ron Kulpa,"M.Minor (5-72-W), S.Kelley (0-H), J.Leclerc (0)",0.3051643192488263,0.47417840375586856,0.3870967741935484,0.861275177949417,1.7407407407407407,5.028814814814815,0.6053475935828877,0.16129032258064516,6.666666666666667,1.3788348845225784,1.1666666666666667,TEX,2019
7,7,Apr 4,@,LAA,"W,11-4",45,39,11,15,3,0,2,11,4,0,10,2,0,0,0,1,0,0,.257,.355,.478,.833,7,9,R,M.Harvey(13),0.25190839694656486,9.0,8,4,3,1,7,9,2,0,5.29,42,187,110,1,0,0,0,35,1,0,0,0,0,1,2,4,David Rackley,"E.Volquez (4-44), J.Springs (4-W), J.Gomez (4), K.Dowdy (6)",0.29435483870967744,0.46774193548387094,0.38275862068965516,0.8505005561735262,1.7301587301587302,5.229873015873016,0.6024955436720143,0.16896551724137931,7,1.3607331296861984,1.2857142857142858,TEX,2019
8,8,Apr 5,@,LAA,"L,1-3",35,32,1,6,1,0,1,1,3,0,12,0,0,0,0,1,2,0,.248,.343,.457,.801,7,10,R,F.Pena(57),0.26262626262626265,8.0,6,3,3,0,1,7,2,0,5.07,30,120,75,0,0,0,0,29,1,0,0,0,0,0,1,2,Larry Vanover,"L.Lynn (4-63-L), J.Chavez (2)",0.2851985559566787,0.4657039711191336,0.36875,0.8344539711191337,1.6338028169014085,5.214,0.604669887278583,0.175,7.098591549295775,1.5131045663334235,1.3943661971830985,TEX,2019
9,9,Apr 6,@,LAA,"L,1-5",34,31,1,6,3,0,0,1,1,0,12,1,1,0,0,1,0,0,.242,.333,.439,.773,6,10,L,T.Skaggs(63),0.2719033232628399,8.0,10,5,5,0,5,7,2,2,5.13,40,172,104,1,0,2,0,33,2,0,1,0,0,1,0,4,Alfonso Marquez,"D.Smyly (4-33-L), J.Chavez (0), A.Sampson (4), J.Gomez (1)",0.2870967741935484,0.47419354838709676,0.375,0.8491935483870967,1.6582278481012658,5.353240506329113,0.6046676096181046,0.175,7.177215189873418,1.4996429421566295,1.481012658227848,TEX,2019
10,10,Apr 7,@,LAA,"L,2-7",36,29,2,6,1,0,1,2,5,0,7,2,0,0,0,3,0,1,.239,.336,.431,.767,7,9,R,C.Stratton(43),0.26430517711171664,8.0,9,7,7,0,6,5,2,2,5.38,40,169,103,2,0,1,0,32,0,0,1,0,0,1,1,5,Dan Bellino,"S.Miller (4-30-L), J.Springs (2), K.Bird (6), S.Kelley (3), C.Martin (4)",0.28654970760233917,0.47368421052631576,0.38,0.8536842105263158,1.6781609195402298,5.5473333333333334,0.6051800379027164,0.17,7.0344827586206895,1.4163715892522393,1.5517241379310345,TEX,2019
11,11,Apr 9,@,ARI,"L,4-5",37,35,4,8,3,0,0,3,1,0,11,0,1,0,1,0,0,0,.238,.328,.419,.748,6,13,R,Z.Greinke(54),0.26732673267326734,8.1,9,5,5,0,2,7,3,0,5.38,35,127,82,0,0,0,0,33,2,0,0,0,0,0,1,3,D.J. Reyburn,"M.Minor (5-62), C.Martin (1-H), J.Leclerc (5-BL)",0.28533333333333333,0.48533333333333334,0.37471264367816093,0.8600459770114943,1.6508937960042063,5.674567823343849,0.6081871345029239,0.1724137931034483,7.097791798107256,1.4997000599880024,1.7034700315457414,TEX,2019
12,12,Apr 10,@,ARI,"W,5-2",41,35,5,8,1,0,1,5,4,0,15,0,1,0,1,1,2,0,.237,.327,.412,.739,9,15,L,R.Ray(68),0.27640449438202247,9.0,6,2,2,0,3,12,0,3,5.09,39,159,97,3,0,0,0,33,1,0,0,0,0,0,0,5,Fieldin Culbreth,"L.Lynn (4-67-W), J.Chavez (3-H), S.Kelley (2-H), J.Leclerc (0), K.Bird (2-Sv)",0.2769607843137255,0.4632352941176471,0.3691983122362869,0.8324336063539339,1.5946205571565804,5.317746397694524,0.608346709470305,0.18354430379746836,7.521613832853026,1.6411997736276176,1.5561959654178674,TEX,2019
