Rk,Gtm,Date,Var.4,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,X.,Thr,Opp..Starter..GmeSc.,SOPercH,IP,HA,RA,ER,UER,BBA,OSO,HRA,HBPA,ERA,BF,Pit,Str,IR,IS,SBA,CSA,ABA,2BA,3BA,IBBA,SHA,SFA,ROEA,DPT,NumPitchers,Umpire,Pitchers Used (Rest-GameScore-Dec),BAA,SLGA,OBPA,OPSA,WHIP,FIP,StrPerc,SOPerc,K_9,K_BB,HR_9,team,Year
13,13,Apr 12,,OAK,"L,6-8",37,36,6,10,3,0,2,6,1,0,12,0,0,0,0,0,1,1,.241,.324,.422,.746,4,10,R,M.Fiers(34),0.2800829875518672,9.0,11,8,8,0,2,9,2,0,5.32,38,172,103,5,4,0,1,36,2,0,0,0,0,0,1,6,Jansen Visconti,"D.Smyly (5-46), J.Chavez (1-H), S.Kelley (1-BSv), C.Martin (2-L), J.Springs (4), J.Gomez (5)",0.27927927927927926,0.46846846846846846,0.3671875,0.8356559684684685,1.5826702033598585,5.2741237842617155,0.6075453209211171,0.1875,7.639257294429709,1.7451372477731322,1.5915119363395227,TEX,2019
14,14,Apr 14,,OAK,"W,8-7",38,33,8,8,1,2,1,7,3,0,4,2,0,0,2,0,3,0,.241,.326,.427,.752,6,10,L,B.Anderson(59),0.2673076923076923,9.0,10,7,7,0,3,10,2,1,5.44,39,168,106,0,0,1,0,35,2,0,0,0,0,0,2,5,Doug Eddings,"A.Sampson (7-20), J.Chavez (1), J.Gomez (1), J.Springs (1-W), J.Leclerc (3-Sv)",0.2797494780793319,0.4718162839248434,0.3666061705989111,0.8384224545237545,1.5724815724815726,5.2451220311220315,0.609325486645541,0.19237749546279492,7.813267813267814,1.8272711601448026,1.6216216216216217,TEX,2019
15,15,Apr 15,,LAA,"W,12-7",46,38,12,14,3,0,3,11,7,0,6,1,0,0,0,0,3,0,.251,.338,.446,.785,10,9,R,T.Cahill(36),0.25618374558303886,9.0,8,7,7,0,8,1,2,1,5.55,44,170,93,4,0,0,0,33,2,0,0,0,2,0,0,4,Greg Gibson,"S.Miller (7-32), K.Dowdy (10-W), K.Bird (4), J.Leclerc (0-Sv)",0.27734375,0.47265625,0.3680672268907563,0.8407234768907563,1.5865751334858886,5.471818459191457,0.6048759983186213,0.17983193277310924,7.3455377574370715,1.6209665202242083,1.6475972540045767,TEX,2019
16,16,Apr 16,,LAA,"W,5-0",34,31,5,9,2,0,2,5,3,0,5,0,0,0,0,1,0,0,.253,.339,.452,.791,5,9,R,J.Barria(40),0.25,9.0,3,0,0,0,2,7,0,0,5.19,30,103,68,,,0,0,28,0,0,0,0,0,0,2,1,Carlos Torres,M.Minor (6-86-W),0.26851851851851855,0.4537037037037037,0.3584,0.8121037037037038,1.5203426124197004,5.269674518201285,0.6071716357775987,0.1824,7.323340471092077,1.6762240846934273,1.5417558886509637,TEX,2019
17,17,Apr 17,,LAA,"W,5-4",33,29,5,6,1,1,0,4,3,0,8,0,1,0,1,0,0,1,.250,.336,.445,.781,4,10,R,M.Harvey(37),0.24960505529225907,9.0,10,4,4,0,4,6,1,1,5.12,41,169,109,2,0,0,0,36,3,0,0,0,0,0,1,5,Jeremie Rehak,"L.Lynn (6-46-W), J.Chavez (2-H), S.Kelley (4-H), C.Martin (4-H), J.Leclerc (1-Sv)",0.2690972222222222,0.453125,0.3588588588588589,0.8119838588588588,1.522468142186452,5.2327793427230045,0.6095812900792154,0.18018018018018017,7.2434607645875255,1.666435217330926,1.5090543259557345,TEX,2019
18,18,Apr 19,,HOU,"L,2-7",34,30,2,4,1,0,2,2,4,0,9,0,0,0,0,1,0,0,.244,.331,.441,.772,5,9,R,J.Verlander(72),0.25037481259370314,9.0,11,7,7,0,5,13,2,0,5.23,42,190,115,3,1,1,0,37,5,0,0,0,0,1,1,4,Stu Scheurwater,"D.Smyly (6-40-L), J.Gomez (4), K.Dowdy (3), B.Martin (99)",0.2707993474714519,0.46166394779771613,0.3601694915254237,0.8218334393231399,1.537001897533207,5.212734977862112,0.6092925026399155,0.18785310734463276,7.571157495256167,1.7270484352681468,1.537001897533207,TEX,2019
19,19,Apr 20,,HOU,"W,9-4",38,34,9,10,3,1,1,8,4,0,12,0,0,0,1,0,2,1,.247,.333,.446,.779,5,9,R,G.Cole(16),0.25390070921985813,9.0,11,4,4,0,1,4,2,1,5.16,38,124,79,2,0,0,0,36,4,0,0,0,0,0,2,4,Mark Wegner,"A.Sampson (5-43), S.Kelley (2-W), J.Chavez (2), C.Martin (2)",0.2727272727272727,0.46841294298921415,0.35924932975871315,0.8276622727479273,1.5260323159784561,5.2307564332734895,0.6104553119730185,0.1836461126005362,7.378815080789947,1.7561851044737853,1.5619389587073609,TEX,2019
20,20,Apr 21,,HOU,"W,11-10",39,31,11,10,3,1,2,11,4,0,6,1,0,2,0,1,0,0,.251,.336,.457,.793,4,9,R,C.McHugh(6),0.24865591397849462,9.0,11,10,8,2,6,6,5,0,5.31,44,169,102,4,1,0,0,36,1,1,0,0,2,1,1,6,Hunter Wendelstedt,"S.Miller (5-45-W), J.Springs (6), B.Martin (1), C.Martin (0-H), J.Leclerc (3-H), S.Kelley (0-Sv)",0.27445255474452557,0.48613138686131385,0.36075949367088606,0.8468908805322,1.5445769449176605,5.530865417376491,0.6100829610721124,0.1810126582278481,7.308347529812607,1.7021783121057017,1.737649063032368,TEX,2019
21,21,Apr 22,@,OAK,"L,1-6",38,32,1,6,2,0,0,1,5,0,13,1,0,0,0,1,2,0,.248,.335,.447,.782,10,10,R,C.Bassitt(66),0.2531969309462916,8.0,7,6,5,1,3,5,1,0,5.32,34,125,79,0,0,0,0,29,2,0,0,0,2,0,0,2,Will Little,"M.Minor (5-49-L), J.Gomez (2)",0.27310924369747897,0.4831932773109244,0.3580097087378641,0.8412029860487884,1.5317762085822924,5.495368821292775,0.6109235961951519,0.1796116504854369,7.235198261814231,1.7009539133432938,1.7110266159695817,TEX,2019
22,22,Apr 23,@,OAK,"L,5-11",42,39,5,14,4,0,1,5,2,0,9,0,0,1,1,2,1,0,.254,.337,.452,.790,10,9,R,F.Montas(43),0.2512135922330097,8.0,14,11,10,1,6,7,1,1,5.57,45,165,104,4,0,1,0,38,3,1,0,0,0,1,1,3,Joe West,"L.Lynn (5-11-L), W.Huang (99), J.Springs (1)",0.2779255319148936,0.488031914893617,0.36363636363636365,0.8516682785299807,1.5720978656949507,5.488856845393025,0.611857476635514,0.17836593785960875,7.26184279021343,1.6664874744651113,1.6866215512753775,TEX,2019
23,23,Apr 24,@,OAK,"L,5-6",36,32,5,7,2,0,3,4,3,0,11,0,1,0,0,1,0,0,.252,.335,.457,.792,4,11,R,A.Brooks(50),0.2534883720930233,8.2,11,6,6,0,6,7,2,0,5.60,41,165,102,0,0,1,1,35,1,0,0,0,0,0,0,4,Eric Cooper,"K.Dowdy (4-38), J.Chavez (3), A.Sampson (3), C.Martin (2-L)",0.2795425667090216,0.4891994917407878,0.3659340659340659,0.8551335576748538,1.5926110833749374,5.545502745881178,0.6121482307049317,0.17802197802197803,7.2790813779331,1.6361983638016362,1.7074388417373938,TEX,2019
24,24,Apr 25,@,SEA,"L,2-14",37,35,2,9,1,0,0,2,2,0,12,0,0,0,1,2,0,0,.253,.334,.449,.783,8,10,L,M.Gonzales(74),0.2564102564102564,8.0,14,14,13,1,8,8,1,1,5.94,47,208,120,8,3,0,0,36,5,0,0,0,2,0,0,6,Tripp Gibson,"T.Hearn (99-23-L), B.Martin (3), J.Springs (1), J.Gomez (2), J.Leclerc (3), J.Mathis (99)",0.284325637910085,0.4945321992709599,0.3719958202716823,0.8665280195426422,1.6370619299087854,5.556774843975036,0.6102185936265473,0.17763845350052246,7.345175228036485,1.5886365760209324,1.6850696111377819,TEX,2019
25,25,Apr 26,@,SEA,"L,4-5",46,37,4,6,1,0,2,4,9,1,11,0,0,0,0,1,2,1,.248,.333,.445,.778,9,11,L,Y.Kikuchi(55),0.25556733828207845,10.1,6,5,5,0,9,10,1,0,5.87,46,189,112,0,0,2,0,37,0,0,0,0,0,0,0,6,Mark Carlson,"S.Miller (4-44), J.Chavez (1), S.Kelley (4), A.Sampson (1), C.Martin (1), K.Dowdy (1-L)",0.27906976744186046,0.48372093023255813,0.3698903290129611,0.8536112592455192,1.63003663003663,5.540007326007325,0.6093828399397893,0.1794616151545364,7.417582417582417,1.5515903801396431,1.6483516483516483,TEX,2019
26,26,Apr 27,@,SEA,"W,15-1",55,49,15,20,7,0,3,15,5,0,7,1,0,0,2,0,0,0,.257,.341,.461,.802,13,9,R,M.Leake(22),0.24849699398797595,9.0,3,1,1,0,1,16,1,1,5.68,32,140,96,0,0,0,0,30,0,0,0,0,0,0,0,2,Scott Barry,"M.Minor (4-79-W), A.Jurado (99)",0.27303370786516856,0.47415730337078654,0.36328502415458935,0.837442327525376,1.5831134564643798,5.3775883905013195,0.6119728550654386,0.18937198067632852,7.757255936675461,1.675070506794291,1.6226912928759893,TEX,2019
27,27,Apr 28,@,SEA,"W,14-1",49,46,14,17,1,0,4,13,2,0,13,0,0,1,4,1,1,0,.263,.343,.471,.814,8,9,R,E.Swanson(12),0.2492836676217765,9.0,7,1,1,0,4,10,0,0,5.50,36,144,94,0,0,0,0,32,3,0,0,0,0,0,1,3,Brian Gorman,"L.Lynn (4-69-W), B.Martin (2), J.Leclerc (2)",0.27114967462039047,0.4685466377440347,0.36134453781512604,0.8298911755591607,1.5693739424703892,5.261377326565144,0.6133489461358314,0.19234360410831,7.842639593908629,1.702338649698372,1.5609137055837563,TEX,2019
28,28,Apr 30,,PIT,"L,4-6",46,39,4,7,0,0,1,4,7,0,13,0,0,0,0,1,2,1,.260,.342,.462,.804,9,10,R,J.Lyles(49),0.2506861848124428,11.0,14,6,5,1,2,12,2,1,5.44,50,191,128,2,0,0,0,47,3,0,0,0,0,1,0,7,Ed Hickox,"A.Sampson (3-64), B.Martin (1-H), S.Kelley (3-H), C.Martin (3-H), J.Leclerc (1-BSv), J.Chavez (3-L), A.Jurado (2)",0.2724458204334365,0.4695562435500516,0.360392506690455,0.8299487502405065,1.5642683912691997,5.202682295877122,0.615781214974221,0.19446922390722568,7.930476960388035,1.7722136411673848,1.5642683912691997,TEX,2019
29,29,May 1,,PIT,"L,5-7",38,35,5,7,3,0,3,5,3,0,8,0,0,0,1,0,0,0,.258,.339,.465,.804,6,11,R,J.Taillon(52),0.2493368700265252,9.0,8,7,7,0,5,7,0,0,5.49,40,152,90,3,0,1,0,34,4,0,0,1,0,0,0,5,Carlos Torres,"S.Miller (4-37-L), A.Jurado (0), W.Huang (7), K.Dowdy (4), B.Martin (0)",0.2711864406779661,0.46560319042871384,0.35917312661498707,0.8247763170437009,1.5600624024961,5.136776911076443,0.6150010838933448,0.1937984496124031,7.897815912636506,1.7576751816264355,1.5093603744149768,TEX,2019
30,30,May 3,,TOR,"L,0-1",43,38,0,4,1,0,0,0,5,2,12,0,0,0,0,0,0,0,.252,.334,.453,.787,7,11,R,T.Thornton(78),0.2504258943781942,12.0,11,1,0,1,4,14,0,0,5.25,49,202,132,0,0,0,0,43,1,0,1,2,0,0,1,5,Mike Estabrook,"M.Minor (5-75), C.Martin (2), S.Kelley (2), B.Martin (1), A.Jurado (1-L)",0.27055449330783937,0.45793499043977054,0.35702479338842974,0.8149597838282003,1.546199701937407,4.991198211624441,0.6166147455867083,0.1975206611570248,8.014157973174367,1.810468903870919,1.4418777943368108,TEX,2019
31,31,May 4,,TOR,"W,8-5",38,31,8,7,0,1,1,8,7,0,7,0,0,0,0,0,1,0,.251,.335,.451,.786,6,10,L,T.Pannone(17),0.24834983498349836,9.0,9,5,5,0,5,6,0,0,5.24,38,138,89,0,0,0,0,32,1,1,0,0,1,0,2,4,Bruce Dreckman,"L.Lynn (5-34-W), J.Leclerc (3-H), C.Martin (0-H), S.Kelley (0-Sv)",0.27087198515769945,0.4554730983302412,0.3573717948717949,0.812844893202036,1.546503244412401,4.944353280461428,0.6174035937815465,0.19631410256410256,7.948810382119683,1.788190643018758,1.3950973323720262,TEX,2019
32,32,May 5,,TOR,"W,10-2",37,35,10,12,3,0,2,10,2,0,4,0,0,0,0,1,0,0,.254,.337,.455,.792,3,9,R,C.Buchholz(18),0.24419535628502803,9.0,6,2,2,0,3,6,1,0,5.14,33,132,83,0,0,0,0,30,2,0,0,0,0,0,3,5,Chad Fairchild,"D.Smyly (15-57), K.Dowdy (3-W), B.Martin (1), J.Gomez (9), J.Chavez (4)",0.26895306859205775,0.45306859205776173,0.3551912568306011,0.8082598488883628,1.5293296089385475,4.924893854748603,0.6176991150442478,0.1959406713505074,7.887569832402235,1.7927290907792301,1.3826815642458101,TEX,2019
33,33,May 7,@,PIT,"L,4-5",39,30,4,5,3,0,1,4,7,0,12,1,1,0,1,2,1,0,.252,.337,.453,.790,8,15,L,S.Brault(52),0.24611801242236025,8.0,8,5,5,0,4,3,1,2,5.15,36,120,71,0,0,1,1,30,2,1,0,0,0,0,0,3,Hunter Wendelstedt,"A.Sampson (6-33-L), J.Chavez (1), J.Leclerc (2)",0.2688927943760984,0.45430579964850615,0.3561123766135156,0.8104181762620217,1.5285326086956523,4.942940217391304,0.6170989433237272,0.19286256643887623,7.764945652173914,1.7637664051107562,1.3756793478260871,TEX,2019
34,34,May 8,@,PIT,"W,9-6",43,35,9,9,2,0,3,9,8,1,9,0,0,0,0,1,4,0,.252,.339,.457,.795,7,18,R,N.Kingham(50),0.24492862509391436,9.0,10,6,6,0,1,8,2,0,5.18,38,142,96,0,0,2,0,37,1,0,0,0,0,0,0,6,Jordan Baker,"S.Miller (6-51), B.Martin (2), K.Dowdy (2), J.Chavez (0), A.Jurado (4-W), C.Martin (3-Sv)",0.26893617021276595,0.454468085106383,0.35424354243542433,0.8087116275418074,1.5194462755438367,4.934500988793672,0.6186646717785674,0.19335793357933578,7.771918259723138,1.8067719467622925,1.3941990771259065,TEX,2019
35,35,May 9,@,HOU,"L,2-4",32,28,2,3,0,0,1,2,4,0,10,0,0,0,0,0,0,0,.249,.336,.451,.787,3,11,L,W.Miley(65),0.24651504035216434,8.0,9,4,4,0,6,9,1,0,5.16,37,164,100,5,1,0,0,30,0,0,0,0,1,0,2,4,Dan Iassogna,"M.Minor (5-43-L), A.Jurado (0), J.Leclerc (1), J.Gomez (3)",0.2697095435684647,0.45311203319502075,0.35560344827586204,0.8087154814708828,1.5285806037251124,4.932047527296082,0.6183995645073489,0.19468390804597702,7.832369942196532,1.7945831401893915,1.3872832369942198,TEX,2019
36,36,May 10,@,HOU,"L,0-3",31,28,0,2,0,0,0,0,2,0,10,1,0,0,0,1,0,0,.244,.332,.442,.774,4,9,R,J.Verlander(81),0.24820659971305595,8.0,6,3,3,0,2,8,3,0,5.11,31,129,74,0,0,0,0,29,1,0,0,0,0,0,1,2,Sam Holbrook,"L.Lynn (5-60-L), J.Gomez (0)",0.26823338735818475,0.4554294975688817,0.35347856640899505,0.8089080639778767,1.5153412648716345,4.97981089542893,0.6173758865248227,0.1960646521433591,7.8616155291170955,1.823410234625188,1.4370695053224798,TEX,2019
37,37,May 11,@,HOU,"L,4-11",36,35,4,9,1,0,2,4,1,0,18,0,0,0,0,0,1,1,.245,.331,.443,.773,5,9,R,G.Cole(72),0.2545454545454545,8.0,13,11,8,3,5,4,2,0,5.21,43,166,101,5,5,1,0,38,1,0,0,0,0,1,1,5,Manny Gonzalez,"J.Chavez (2-53), D.Smyly (5-L), K.Dowdy (2), J.Gomez (0), W.Huang (9)",0.27044025157232704,0.45754716981132076,0.3553888130968622,0.812935982908183,1.533292608430055,5.0374575442883325,0.6171202204615914,0.19304229195088676,7.779474648747709,1.7910258844376938,1.45693341478314,TEX,2019
38,38,May 12,@,HOU,"L,5-15",41,37,5,9,2,0,2,5,4,0,14,0,0,0,0,0,0,0,.245,.330,.443,.773,9,9,R,C.Martin(62),0.25696804894629505,8.0,18,15,10,5,2,8,4,0,5.35,45,161,111,2,2,0,0,43,3,1,0,0,0,1,0,5,Jim Wolf,"A.Sampson (4-21-L), A.Jurado (2), B.Martin (3), J.Leclerc (2), C.Martin (3)",0.2752851711026616,0.4692015209125475,0.35804103242885504,0.8272425533414025,1.5563506261180682,5.1191878354203935,0.6190715602480308,0.19258769027134348,7.808586762075135,1.8186363352290482,1.5295169946332738,TEX,2019
39,39,May 14,@,KCR,"L,5-11",39,37,5,10,6,1,0,5,2,0,12,0,0,0,0,0,0,0,.245,.330,.444,.774,7,10,L,D.Duffy(42),0.2582781456953642,8.0,14,11,11,0,4,3,0,2,5.52,43,163,102,3,1,1,1,37,7,0,0,0,0,0,0,5,Jeff Kellogg,"S.Miller (5-8-L), W.Huang (2), K.Dowdy (2), A.Jurado (1), B.Martin (1)",0.2781065088757396,0.4718934911242604,0.361003861003861,0.8328973521281213,1.5725101921956903,5.092276062900408,0.6192495921696575,0.1891891891891892,7.7052999417588826,1.792573623559539,1.4938846825859058,TEX,2019
40,40,May 15,@,KCR,"W,6-1",42,37,6,12,4,0,3,6,2,0,10,3,0,0,0,1,0,1,.248,.332,.451,.782,9,10,R,J.Lopez(40),0.25773195876288657,9.0,9,1,1,0,3,7,0,0,5.40,38,135,85,0,0,3,0,33,1,0,0,2,0,0,1,4,Brian O'Nora,"M.Minor (5-48-W), J.Gomez (3), J.Chavez (3), C.Martin (2)",0.2779783393501805,0.467870036101083,0.3599246231155779,0.827794659216661,1.5664018161180477,5.030118047673099,0.6194732641660016,0.18907035175879397,7.687287173666289,1.8022872881863363,1.4557321225879682,TEX,2019
41,41,May 16,@,KCR,"W,16-1",56,47,16,21,2,0,5,14,8,0,6,0,0,1,0,1,0,0,.254,.338,.462,.801,13,9,R,H.Bailey(25),0.2524875621890547,9.0,9,1,1,0,2,6,0,1,5.29,36,117,73,0,0,0,0,32,2,0,0,0,1,0,3,3,James Hoye,"L.Lynn (5-65-W), B.Martin (1), J.Springs (20)",0.27805222300635146,0.46506704304869445,0.3593366093366093,0.8244036523853038,1.5578306585500832,4.968288876591035,0.619554998433093,0.18857493857493857,7.645268400664085,1.8164605644636413,1.4194798007747649,TEX,2019
42,42,May 17,,STL,"W,7-3",35,33,7,11,2,0,2,7,1,0,13,1,0,0,0,1,1,0,.256,.339,.465,.804,4,9,R,M.Mikolas(10),0.2550213024954352,9.0,9,3,2,1,1,6,1,0,5.21,37,145,102,1,0,0,0,36,1,0,0,0,0,1,0,4,Bill Miller,"J.Leclerc (4-55), A.Sampson (4-W), J.Chavez (1), C.Martin (1)",0.27735719201651754,0.46249139710942877,0.35735735735735735,0.8198487544667861,1.546976241900648,4.936462203023758,0.6214187222307339,0.187987987987988,7.605291576673866,1.8410681724604436,1.4092872570194386,TEX,2019
43,43,May 18,,STL,"L,2-8",35,32,2,6,1,0,0,2,2,0,6,1,0,0,0,1,0,0,.255,.337,.460,.797,6,10,R,D.Hudson(57),0.2532777115613826,9.0,10,8,5,3,6,7,1,0,5.21,44,174,106,3,2,0,0,38,3,0,0,0,0,1,0,5,Chris Conroy,"A.Jurado (3-44-L), J.Gomez (2), B.Martin (1), K.Dowdy (3), J.Springs (1)",0.27699530516431925,0.4614352783366868,0.3575190169689877,0.8189542953056745,1.5524512387981024,4.94041012124407,0.6211013281599761,0.18724400234055003,7.5909330521876655,1.8180785182660077,1.3995782814971007,TEX,2019
