Rk,Gtm,Date,Var.4,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,X.,Thr,Opp..Starter..GmeSc.,SOPercH,IP,HA,RA,ER,UER,BBA,OSO,HRA,HBPA,ERA,BF,Pit,Str,IR,IS,SBA,CSA,ABA,2BA,3BA,IBBA,SHA,SFA,ROEA,DPT,NumPitchers,Umpire,Pitchers Used (Rest-GameScore-Dec),BAA,SLGA,OBPA,OPSA,WHIP,FIP,StrPerc,SOPerc,K_9,K_BB,HR_9,team,Year
22,22,Apr 24,@,PHI,"W,8-4",41,35,8,11,1,0,3,8,6,0,12,0,0,0,0,3,2,0,.229,.312,.409,.721,6,16,R,V.Velasquez(44),0.2608695652173913,9.0,7,4,4,0,4,16,0,1,2.80,38,176,111,2,1,0,0,32,1,0,0,0,1,0,1,6,Gabe Morales,"R.Ray (5-50), F.Salas (2-W), A.Chafin (2-H), Y.Hirano (1-H), J.De La Rosa (1), T.McFarland (2)",0.20656634746922026,0.3146374829001368,0.2691358024691358,0.5837732853692726,1.0638297872340425,3.0966754082137555,0.6321243523316062,0.27901234567901234,10.064324591786244,3.5306983283861895,0.8461157842652153,ARI,2018
23,23,Apr 25,@,PHI,"L,3-5",36,30,3,5,0,0,0,3,4,0,6,0,0,2,2,2,1,0,.227,.310,.399,.709,6,15,R,J.Arrieta(61),0.2569444444444444,8.0,10,5,5,0,1,11,1,0,2.91,32,123,81,0,0,0,1,30,2,0,0,0,1,0,1,3,Ed Hickox,"Z.Greinke (5-42-L), A.Chafin (0), F.Salas (0)",0.21156373193166886,0.3219448094612352,0.27197149643705465,0.5939163058982899,1.0756782484531175,3.0705668729176585,0.6330787309048178,0.2814726840855107,10.152308424559735,3.6455929856945084,0.8567348881485007,ARI,2018
24,24,Apr 26,@,PHI,"W,8-2",43,36,8,11,4,0,3,8,7,1,10,0,0,0,0,1,0,0,.230,.315,.411,.726,8,14,R,B.Lively(12),0.2557883131201764,9.0,9,2,2,0,2,7,0,0,2.87,35,148,93,0,0,0,0,33,3,0,0,0,0,0,3,3,John Tumpane,"M.Koch (5-54-W), J.De La Rosa (1), T.McFarland (1)",0.2141057934508816,0.3236775818639798,0.27366020524515394,0.5973377871091338,1.0816978548607943,3.037768598813327,0.6328828828828829,0.2782212086659065,10.022820629849384,3.6412475749888076,0.8215426745778184,ARI,2018
25,25,Apr 27,@,WSN,"W,5-4",34,31,5,6,1,1,1,5,2,0,8,0,0,1,1,0,0,2,.229,.312,.410,.722,2,14,R,S.Strasburg(46),0.255047821466525,9.0,11,4,4,0,3,11,1,0,2.92,41,163,104,0,0,0,0,37,1,0,0,0,1,0,0,5,Tony Randazzo,"Z.Godley (5-32-W), A.Chafin (1-H), Y.Hirano (2-H), A.Bradley (4-H), B.Boxberger (6-Sv)",0.21780986762936222,0.32731648616125153,0.2766884531590414,0.6040049393202929,1.1003945637878123,3.0426308636562913,0.6331090174966353,0.2777777777777778,10.061376589215257,3.6423368090272814,0.8285839544059623,ARI,2018
26,26,Apr 28,@,WSN,"W,4-3",41,37,4,9,1,0,2,4,4,0,7,0,0,0,0,2,0,0,.229,.312,.411,.724,7,16,R,J.Hellickson(50),0.2515274949083503,10.0,8,3,3,0,3,10,2,2,2.91,41,128,90,1,0,1,0,36,3,0,1,0,0,0,1,5,Nic Lentz,"P.Corbin (5-54), F.Salas (2), A.Bradley (0), Y.Hirano (0-W), B.Boxberger (0-Sv)",0.2179930795847751,0.3333333333333333,0.278415015641293,0.6117483489746263,1.1003779924401513,3.1106010079798403,0.6354410616705699,0.27632950990615224,10.01679966400672,3.6296397753732363,0.869382612347753,ARI,2018
27,27,Apr 29,@,WSN,"L,1-3",35,32,1,8,2,0,0,1,2,0,10,0,0,1,0,2,0,0,.230,.311,.408,.719,7,13,L,G.Gonzalez(67),0.2527040314650934,8.0,7,3,2,1,5,4,2,0,2.89,36,136,83,1,0,1,0,31,1,0,1,0,0,2,2,4,Bill Welke,"R.Ray (4-54), T.McFarland (2-L), F.Salas (0), J.De La Rosa (2)",0.2182628062360802,0.3374164810690423,0.2804020100502513,0.6178184911192937,1.1133685493701748,3.2463311661926046,0.6345815531540588,0.27035175879396983,9.83746444534742,3.4482758620689653,0.914262494920764,ARI,2018
28,28,Apr 30,,LAD,"W,8-5",43,37,8,13,3,0,4,7,5,1,6,1,0,0,0,0,0,1,.235,.317,.422,.738,11,16,R,R.Stripling(31),0.2481132075471698,9.0,7,5,5,0,1,11,1,2,2.96,37,151,101,1,1,0,0,33,3,1,0,0,1,0,0,5,Jerry Layne,"Z.Greinke (4-65-W), Y.Hirano (1-H), A.Chafin (2), A.Bradley (1-H), B.Boxberger (1-Sv)",0.21804511278195488,0.34156820622986034,0.2800387596899225,0.6216069659197828,1.1054488435907488,3.2198004704037633,0.6358353510895883,0.2713178294573643,9.878479027832222,3.543855208201493,0.9172873382987065,ARI,2018
29,29,May 1,,LAD,"W,4-3",37,34,4,10,0,1,2,4,3,1,9,0,0,0,0,0,3,0,.237,.318,.425,.743,9,17,L,C.Kershaw(57),0.2479489516864175,9.0,4,3,2,1,7,7,1,1,2.93,38,159,95,0,0,0,0,30,1,0,1,0,0,1,2,5,Greg Gibson,"M.Koch (4-49), A.Chafin (0), S.Bracho (15-W), A.Bradley (0-H), B.Boxberger (0-Sv)",0.2154006243496358,0.3392299687825182,0.28130841121495326,0.6205383799974715,1.1094282468761831,3.293525558500568,0.6344136162275589,0.26822429906542056,9.780386217341915,3.3368212998488547,0.9201060204468003,ARI,2018
30,30,May 2,,LAD,"L,1-2",36,32,1,6,3,0,0,1,4,0,11,0,0,0,0,1,1,0,.235,.316,.421,.737,8,16,L,H.Ryu(53),0.2497793468667255,9.0,6,2,2,0,3,6,0,1,2.90,34,147,84,0,0,0,0,29,2,0,0,0,1,0,3,4,Vic Carapazza,"Z.Godley (4-60-L), J.De La Rosa (2), T.McFarland (2), S.Bracho (0)",0.21515151515151515,0.3373737373737374,0.2817028985507246,0.6190766359244619,1.1058220432076162,3.2781731966312706,0.6323264201983769,0.2653985507246377,9.655803734895642,3.2917649702280642,0.889783961918711,ARI,2018
31,31,May 3,,LAD,"L,2-5",36,33,2,6,0,0,0,2,2,0,9,1,0,0,1,1,2,0,.234,.314,.413,.728,7,17,L,A.Wood(61),0.24978614200171087,9.0,7,5,5,0,4,8,1,1,2.96,38,148,93,3,3,1,0,32,3,0,1,0,1,0,1,5,Jordan Baker,"P.Corbin (4-65), A.Chafin (1-H), F.Salas (3-L), J.De La Rosa (0-BSv), S.Bracho (0)",0.21526418786692758,0.3395303326810176,0.28283712784588444,0.6223674605269021,1.1095356256646578,3.3063385324353067,0.6321989528795812,0.2635726795096322,9.602977667493796,3.2362111600903125,0.8933002481389577,ARI,2018
